Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254799		0.363621		0.363586		0.363661		0.362902		0.362825		0.362985		0.998472
254801		0.379619		0.380532		0.378673		0.0826653		0.073881		0.0924335		0.279749
254807		0.379057		0.379934		0.378125		0.157841		0.149855		0.166264		0.486798
254816		0.363896		0.363948		0.363844		0.319409		0.316934		0.321898		0.903465
254826		0.36287		0.362883		0.362857		0.349416		0.348499		0.350334		0.971203
254852		0.362864		0.362798		0.362869		0.358262		0.357893		0.35857		0.990190
254868		0.362903		0.36292		0.362886		0.346289		0.345183		0.347397		0.964388
254904		0.363747		0.363812		0.363682		0.358399		0.358128		0.358671		0.988607
254924		0.362798		0.362803		0.362794		0.357641		0.357293		0.357988		0.989003
254929		0.36292		0.362932		0.362907		0.349495		0.348595		0.350397		0.971269
254945		0.365576		0.3658		0.365359		0.285811		0.28075		0.290937		0.824258
254975		0.362881		0.362894		0.362868		0.34877		0.347888		0.349653		0.969787
254979		0.370116		0.370401		0.369832		0.248802		0.242256		0.255479		0.728804
254992		0.362806		0.362811		0.362801		0.356991		0.356647		0.357335		0.987597
255049		0.362895		0.362909		0.362881		0.347677		0.346703		0.348653		0.967401
255093		0.362825		0.36283		0.362819		0.355739		0.355328		0.35615		0.984878
