Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254970		0.333394		0.333436		0.333351		0.2964		0.294071		0.29874		0.916993
254989		0.333534		0.333593		0.333476		0.308048		0.30655		0.309552		0.943227
254990		0.333533		0.333581		0.333484		0.330201		0.330033		0.330369		0.992676
255001		0.333076		0.333103		0.33305		0.315354		0.314247		0.316463		0.960682
255002		0.334887		0.335		0.334774		0.24169		0.23609		0.247382		0.783763
255003		0.332821		0.332827		0.332816		0.328756		0.32845		0.329062		0.991051
255004		0.333177		0.333209		0.333145		0.314817		0.313744		0.315892		0.959257
255005		0.332911		0.332925		0.332897		0.321517		0.320692		0.322343		0.974814
255006		0.332838		0.332843		0.332832		0.327631		0.327325		0.327937		0.988532
255007		0.334666		0.334797		0.334536		0.318853		0.318021		0.319687		0.965028
255008		0.333929		0.334007		0.333846		0.327762		0.327422		0.328096		0.986426
255009		0.333315		0.333359		0.333271		0.3082		0.306681		0.309724		0.944050
255010		0.333385		0.333434		0.333336		0.30924		0.307747		0.310738		0.946248
255012		0.332809		0.332813		0.332806		0.329285		0.329079		0.329491		0.992244
255013		0.333625		0.333699		0.333551		0.316207		0.315017		0.3174		0.961392
255014		0.334546		0.334653		0.334439		0.331544		0.331471		0.331618		0.993411
255015		0.333525		0.333587		0.333463		0.300326		0.298219		0.302443		0.925696
255016		0.333223		0.333246		0.333199		0.311484		0.310149		0.312823		0.951666
255017		0.333766		0.333834		0.333698		0.317362		0.316471		0.318255		0.963668
255018		0.333312		0.333356		0.333269		0.304586		0.30283		0.306348		0.935863
255019		0.333166		0.333198		0.333132		0.303681		0.301879		0.30549		0.934127
255020		0.333135		0.333165		0.333103		0.304979		0.303269		0.306693		0.937143
255022		0.332802		0.332804		0.3328		0.330251		0.330097		0.330405		0.994390
255023		0.333028		0.333048		0.333007		0.313241		0.312061		0.314424		0.956047
255024		0.333639		0.333705		0.333574		0.286225		0.283349		0.28912		0.892959
255025		0.332959		0.332976		0.332941		0.319148		0.318322		0.319976		0.969430
255026		0.333701		0.333771		0.33365		0.280238		0.277069		0.283448		0.878857
255027		0.334495		0.334617		0.334374		0.269038		0.265458		0.272653		0.850726
255028		0.332872		0.332884		0.33286		0.325688		0.325205		0.326171		0.984159
255029		0.333478		0.333533		0.333424		0.306238		0.304636		0.307844		0.939249
255031		0.332991		0.333009		0.332974		0.316701		0.315685		0.317718		0.963886
255032		0.333379		0.333432		0.333325		0.29585		0.293371		0.298342		0.915763
255033		0.332831		0.332838		0.332825		0.328011		0.327644		0.328378		0.989385
255034		0.332919		0.332935		0.332903		0.319358		0.318411		0.320306		0.969984
255035		0.33281		0.332814		0.332807		0.329562		0.329357		0.329767		0.992853
255037		0.333809		0.333879		0.333739		0.3206		0.319884		0.321318		0.970802
255038		0.335152		0.335301		0.335003		0.32934		0.329122		0.329558		0.987230
255039		0.337041		0.337374		0.336715		0.22438		0.217413		0.231523		0.736169
255040		0.332819		0.332823		0.332815		0.328835		0.328583		0.329087		0.991232
255042		0.332901		0.332913		0.332889		0.321352		0.320651		0.322054		0.974468
255043		0.334798		0.334935		0.334662		0.313846		0.312757		0.314941		0.953531
255044		0.333153		0.333181		0.333151		0.326436		0.326034		0.326865		0.985198
255045		0.333523		0.333578		0.333468		0.321384		0.32067		0.322099		0.973175
255046		0.333314		0.333353		0.333275		0.312034		0.310832		0.313239		0.952704
255047		0.333445		0.333501		0.33339		0.306652		0.304918		0.308392		0.940259
255048		0.332824		0.33283		0.332819		0.32808		0.327747		0.328414		0.989554
255050		0.333246		0.333281		0.333211		0.302988		0.301044		0.30494		0.932374
255051		0.332824		0.332829		0.332819		0.328454		0.328177		0.328731		0.990379
255052		0.332921		0.332934		0.332908		0.320376		0.319612		0.321141		0.972251
255053		0.332853		0.332862		0.332845		0.324262		0.323748		0.324777		0.981040
255054		0.333638		0.333701		0.333576		0.30751		0.306039		0.308986		0.941781
255055		0.333592		0.333652		0.333533		0.315337		0.314257		0.316421		0.959515
255056		0.333351		0.333377		0.333326		0.307997		0.306576		0.309423		0.943513
255057		0.332883		0.332894		0.332872		0.322321		0.321685		0.322958		0.976664
255058		0.333433		0.33349		0.333376		0.303399		0.301466		0.305341		0.932901
255060		0.332889		0.3329		0.332877		0.325266		0.3248		0.325733		0.983188
255061		0.333571		0.333624		0.333519		0.326213		0.325824		0.326603		0.983788
255062		0.333965		0.334048		0.333883		0.322285		0.321651		0.32292		0.974211
